OBJECTID,Loc_name,Score,X,Y,HFID,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY_CD,COUNTYNAME,TELEPHONE,FAX,LIC_TYPE,CAH,DEEMED,SWING,HLTH_SYS,ADMINISTRATOR,HOSP_BEDS,BASS_BEDS,HOSP18_BEDS
138,MANUAL,,479384.6346,4977886.323,242,ABBOTT NORTHWESTERN HOSPITAL,800 EAST 28TH STREET,MINNEAPOLIS,MN,55407,27,HENNEPIN,612-863-4000,612-863-5667,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ALLINA HOSP & CLINICS,MR. TOM O'CONNOR,952,44,913
139,MANUAL,,263675.6439,5009549.93,655,APPLETON MUNICIPAL HOSPITAL,30 SOUTH BEHL STREET,APPLETON,MN,56208,76,SWIFT,320-289-2422,320-289-2764,CITY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MS. LORI ANDREAS,15,1,0
140,MANUAL,,279017.1919,4925357.545,343,AVERA MARSHALL REG MED CENTER,300 SOUTH BRUCE STREET,MARSHALL,MN,56258,42,LYON,507-532-9661,507-532-9259,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,AVERA,MS. MARY MAERTENS,49,8,0
141,MANUAL,,250165.4013,4906832.716,338,AVERA TYLER HOSPITAL,240 WILLOW STREET,TYLER,MN,56178,41,LINCOLN,507-247-5521,507-247-5972,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,AVERA,MR. ALLEN ANDERSON,20,1,0
142,MANUAL,,451594.676,5288430.355,300,BIGFORK VALLEY HOSPITAL,258 PINE TREE DRIVE,BIGFORK,MN,56628,31,ITASCA,218-743-3177,218-743-3559,HOSPITAL DISTRICT OR AUTHORITY,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,INDEPENDENT,MR. AARON SAUDE,20,4,0
143,MANUAL,,431569.733,5004964.455,860,BUFFALO HOSPITAL,303 CATLIN STREET,BUFFALO,MN,55313,86,WRIGHT,763-682-1212,763-684-7910,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ALLINA HOSP & CLINICS,MS. JENNIFER MYSTER,65,18,65
144,MANUAL,,481979.4517,5045875.286,295,CAMBRIDGE MEDICAL CENTER,701 SOUTH DELLWOOD STREET,CAMBRIDGE,MN,55008,30,ISANTI,763-689-7700,763-688-7941,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ALLINA HOSP & CLINICS,MR. GARY SHAW,86,15,86
145,MANUAL,,339074.1193,4998332.873,316,CARRIS HEALTH LLC,301 BECKER AVENUE SW,WILLMAR,MN,56201,34,KANDIYOHI,320-231-4227,320-231-4869,LIMITED LIABILITY COMPANY,,Provider Has Deemed Status,,INDEPENDENT,MR. MICHAEL SCHRAMM,136,20,128
146,MANUAL,,356801.935,5092767.148,33211,CENTRACARE HEALTH LONG PRAIRIE,50 CENTRACARE DRIVE,LONG PRAIRIE,MN,56347,77,TODD,320-732-2141,320-732-7298,NONPROFIT CORPORATION,Medicare Certified Critical Access Hospital,,Medicare Certified Swing Bed,,MR. DANIEL SWENSON,34,10,0
147,MANUAL,,438953.4206,5016611.999,717,CENTRACARE HEALTH MONTICELLO,1013 HART BOULEVARD STE 1,MONTICELLO,MN,55362,86,WRIGHT,763-271-2845,763-271-2459,OTHER NONPROFIT OWNERSHIP,Medicare Certified Critical Access Hospital,Provider Has Deemed Status,Medicare Certified Swing Bed,CENTRACARE HEALTH SYSTEM,MS JENNIFER SMOLEN,39,12,0
